identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,pt-PT
same-different-selection-touch-triangle-heavy,"same-different-selection, Same & Different",Show me the triangle.,Muéstrame el triángulo.,Zeige mir das Dreieck.,,,,,,Mostre-me o triângulo.
same-different-selection-touch-star-heavy,"same-different-selection, Same & Different",Show me the star.,Muéstrame la estrella.,Zeige mir den Stern.,,,,,,Mostre-me a estrela.
same-different-selection-touch-green-heavy,"same-different-selection, Same & Different",Show me the green one.,Muéstrame el verde.,Zeige mir das grüne.,,,,,,Mostre-me o verde.
same-different-selection-touch-red-heavy,"same-different-selection, Same & Different",Show me the red one.,Muéstrame el rojo.,Zeige mir das rote.,,,,,,Mostre-me o vermelho.
same-different-selection-touch-blue-heavy,"same-different-selection, Same & Different",Show me the blue one.,Muéstrame el azul.,Zeige mir das blaue.,,,,,,Mostre-me o azul.
same-different-selection-touch-yellow-heavy,"same-different-selection, Same & Different",Show me the yellow one.,Muéstrame el amarillo.,Zeige mir das gelbe.,,,,,,Mostre-me o amarelo.
same-different-selection-touch-small-heavy,"same-different-selection, Same & Different",Show me the small one.,Muéstrame el pequeño.,Zeige mir das kleine.,,,,,,Mostre-me o pequeno.
same-different-selection-touch-medium-heavy,"same-different-selection, Same & Different",Show me the medium one.,Muéstrame el mediano.,Zeige mir das mittelgroße.,,,,,,Mostre-me o médio.
same-different-selection-touch-large-heavy,"same-different-selection, Same & Different",Show me the large one.,Muéstrame el grande.,Zeige mir das große.,,,,,,Mostre-me o grande.
same-different-selection-touch-white-heavy,"same-different-selection, Same & Different",Show me the picture with the white background.,Muéstrame la imagen con el fondo blanco.,Zeige mir das Bild mit dem weißen Hintergrund.,,,,,,Mostre-me a imagem com o fundo branco.
same-different-selection-touch-gray-heavy,"same-different-selection, Same & Different",Show me the picture with the gray background.,Muéstrame la imagen con el fondo gris.,Zeige mir das Bild mit dem grauen Hintergrund.,,,,,,Mostre-me a imagem com o fundo cinza.
same-different-selection-touch-black-heavy,"same-different-selection, Same & Different",Show me the picture with the black background.,Muéstrame la imagen con el fondo negro.,Zeige mir das Bild mit dem schwarzen Hintergrund.,,,,,,Mostre-me a imagem com o fundo preto.
same-different-selection-touch-striped-heavy,"same-different-selection, Same & Different",Show me the picture with the striped background.,Muéstrame la imagen con el fondo a rayas.,Zeige mir das Bild mit dem gestreiften Hintergrund.,,,,,,Mostre-me a imagem com o fundo listrado.
same-different-selection-touch-1-heavy,"same-different-selection, Same & Different",Show me the picture with one shape.,Muéstrame la imagen con una forma.,Zeige mir das Bild mit einer Form.,,,,,,Mostre-me a imagem com uma forma.
same-different-selection-touch-2-heavy,"same-different-selection, Same & Different",Show me the picture with two shapes.,Muéstrame la imagen con dos formas.,Zeige mir das Bild mit zwei Formen.,,,,,,Mostre-me a imagem com duas formas.
same-different-selection-touch-3-heavy,"same-different-selection, Same & Different",Show me the picture with three shapes.,Muéstrame la imagen con tres formas.,Zeige mir das Bild mit drei Formen.,,,,,,Mostre-me a imagem com três formas.
same-different-selection-touch-4-heavy,"same-different-selection, Same & Different",Show me the picture with four shapes.,Muéstrame la imagen con cuatro formas.,Zeige mir das Bild mit vier Formen.,,,,,,Mostre-me a imagem com quatro formas.
same-different-selection-both-circles-heavy,"same-different-selection, Same & Different",Here are two pictures. Something's the same. They're both circles.,Aquí hay dos imágenes. Algo es igual. Ambas son círculos.,Hier sind zwei Bilder. Etwas ist gleich. Beide sind Kreise.,,,,,,Aqui estão duas imagens. Algo é igual. Ambas são círculos.
same-different-selection-both-squares-heavy,"same-different-selection, Same & Different",Here are two pictures. Something's the same. They're both squares.,Aquí hay dos imágenes. Algo es igual. Ambas son cuadrados.,Hier sind zwei Bilder. Etwas ist gleich. Beide sind Quadrate.,,,,,,Aqui estão duas imagens. Algo é igual. Ambas são quadrados.
same-different-selection-both-triangles-heavy,"same-different-selection, Same & Different",Here are two pictures. Something's the same. They're both triangles.,Aquí hay dos imágenes. Algo es igual. Ambas son triángulos.,Hier sind zwei Bilder. Etwas ist gleich. Beide sind Dreiecke.,,,,,,Aqui estão duas imagens. Algo é igual. Ambas são triângulos.
same-different-selection-both-red-heavy,"same-different-selection, Same & Different",Here are two pictures. Something's the same. They're both red.,Aquí hay dos imágenes. Algo es igual. Ambas son rojas.,Hier sind zwei Bilder. Etwas ist gleich. Beide sind rot.,,,,,,Aqui estão duas imagens. Algo é igual. Ambas são vermelhas.
same-different-selection-both-green-heavy,"same-different-selection, Same & Different",Here are two pictures. Something's the same. They're both green.,Aquí hay dos imágenes. Algo es igual. Ambas son verdes.,Hier sind zwei Bilder. Etwas ist gleich. Beide sind grün.,,,,,,Aqui estão duas imagens. Algo é igual. Ambas são verdes.
same-different-selection-both-yellow-heavy,"same-different-selection, Same & Different",Here are two pictures. Something's the same. They're both yellow.,Aquí hay dos imágenes. Algo es igual. Ambas son amarillas.,Hier sind zwei Bilder. Etwas ist gleich. Beide sind gelb.,,,,,,Aqui estão duas imagens. Algo é igual. Ambas são amarelas.
same-different-selection-both-blue-heavy,"same-different-selection, Same & Different",Here are two pictures. Something's the same. They're both blue.,Aquí hay dos imágenes. Algo es igual. Ambas son azules.,Hier sind zwei Bilder. Etwas ist gleich. Beide sind blau.,,,,,,Aqui estão duas imagens. Algo é igual. Ambas são azuis.
same-different-selection-both-small-heavy,"same-different-selection, Same & Different",Here are two pictures. Something's the same. They're both small.,Aquí hay dos imágenes. Algo es igual. Ambas son pequeñas.,Hier sind zwei Bilder. Etwas ist gleich. Beide sind klein.,,,,,,Aqui estão duas imagens. Algo é igual. Ambas são pequenas.
same-different-selection-both-medium-heavy,"same-different-selection, Same & Different",Here are two pictures. Something's the same. They're both medium.,Aquí hay dos imágenes. Algo es igual. Ambas son medianas.,Hier sind zwei Bilder. Etwas ist gleich. Beide sind mittelgroß.,,,,,,Aqui estão duas imagens. Algo é igual. Ambas são médias.
same-different-selection-both-large-heavy,"same-different-selection, Same & Different",Here are two pictures. Something's the same. They're both large.,Aquí hay dos imágenes. Algo es igual. Ambas son grandes.,Hier sind zwei Bilder. Etwas ist gleich. Beide sind groß.,,,,,,Aqui estão duas imagens. Algo é igual. Ambas são grandes.
sds-prompt3-heavy,"same-different-selection, Same & Different",Here is another picture. Which of these pictures is the same as this new picture?,Aquí hay otra imagen. ¿Cuál de estas imágenes es igual a esta nueva imagen?,Hier ist ein weiteres Bild. Welches dieser Bilder ist gleich dem neuen Bild?,,,,,,Aqui está outra imagem. Qual dessas imagens é igual a esta nova imagem?
sds-3match-prompt2-heavy,"same-different-selection, Same & Different",Here are the same pictures. Choose two of them that are the same in a different way.,Aquí están las mismas imágenes. Elige dos de ellas que sean iguales de otra manera.,"Hier sind die gleichen Bilder. Wählen Sie zwei davon aus, die auf eine andere Weise gleich sind.",,,,,,Aqui estão as mesmas imagens. Escolha duas delas que são iguais de uma forma diferente.
sds-2match-prompt1-heavy,"same-different-selection, Same & Different",Here are some new pictures. Choose two of them that are the same in some way.,Aquí hay algunas imágenes nuevas. Elige dos de ellas que sean iguales de alguna manera.,"Hier sind einige neue Bilder. Wählen Sie zwei davon aus, die in irgendeiner Weise gleich sind.",,,,,,Aqui estão algumas novas imagens. Escolha duas delas que são iguais de alguma forma.
sds-2match-prompt2-heavy,"same-different-selection, Same & Different",Now choose two pictures that are the same in a different way.,Ahora elige dos imágenes que sean iguales de otro modo.,"Jetzt wähle zwei Bilder aus, die auf eine andere Weise gleich sind.",,,,,,Agora escolha duas imagens que sejam iguais de uma maneira diferente.
sds-3unique-prompt1-heavy,"same-different-selection, Same & Different",Choose three pictures that are the same in only one way.,Elige tres imágenes que sean iguales en un solo aspecto.,"Wählen Sie drei Bilder aus, die nur auf eine Weise gleich sind.",,,,,,Escolha três imagens que sejam iguais de apenas uma maneira.
sds-3unique-prompt2-heavy,"same-different-selection, Same & Different",Choose another three pictures that are the same in only one way.,Elige otras tres imágenes que sean iguales en un solo aspecto.,"Wählen Sie weitere drei Bilder aus, die nur auf eine Weise gleich sind.",,,,,,Escolha outras três imagens que sejam iguais de apenas uma maneira.
sds-match-demo1-heavy,"same-different-selection, Same & Different",Here are three pictures. I have to choose two of them that are the same in some way. I will pick these two pictures because they are both triangles.,Aquí hay tres imágenes. Tengo que elegir dos de ellas que sean iguales de alguna manera. Voy a escoger estas dos porque ambas son triángulos.,"Hier sind drei Bilder. Ich muss zwei von ihnen auswählen, die auf irgendeine Weise gleich sind. Ich wähle diese zwei Bilder, weil sie beide Dreiecke sind.",,,,,,Aqui estão três imagens. Tenho que escolher duas delas que sejam iguais de alguma maneira. Vou escolher essas duas imagens porque ambas são triângulos.
sds-match-demo2-heavy,"same-different-selection, Same & Different",Here are the same three pictures. I have to choose two of them that are the same in a different way. I will pick these two pictures because they are both small.,Aquí están las mismas tres imágenes. Tengo que elegir dos de ellas que sean iguales de otro modo. Voy a escoger estas dos porque ambas son pequeñas.,"Hier sind die gleichen drei Bilder. Ich muss zwei von ihnen auswählen, die auf eine andere Weise gleich sind. Ich wähle diese zwei Bilder, weil sie beide klein sind.",,,,,,Aqui estão as mesmas três imagens. Tenho que escolher duas delas que sejam iguais de uma maneira diferente. Vou escolher essas duas imagens porque ambas são pequenas.
data-questionnaire-button-text1,general,"I have SERIOUS CONCERNS about these data (e.g., the child did not seem to understand the task, was frequently distracted/interrupted, etc.)","Tengo GRANDES PREOCUPACIONES sobre estos datos (p. ej., el niño no parecía entender la tarea, se distrajo o interrumpió con frecuencia, etc.)","Ich habe ERNSTHAFTE BEDENKEN bezüglich dieser Daten (z. B. das Kind schien die Aufgabe nicht zu verstehen, war häufig abgelenkt/unterbrochen, etc.)",,,,,,"Tenho SÉRIAS PREOCUPAÇÕES com esses dados (por exemplo, a criança não parecia entender a tarefa, estava frequentemente distraída/interrompida, etc.)."
data-questionnaire-button-text2,general,"I feel OK about these data (e.g., the child seemed to understand the task pretty well, only experienced a few distractions/interruptions, etc.)","Me siento bien con estos datos (p. ej., el niño parecía entender la tarea bastante bien, solo tuvo algunas distracciones/interrupciones, etc.)","Ich fühle mich OK mit diesen Daten (z. B. das Kind schien die Aufgabe ziemlich gut zu verstehen, erlebte nur wenige Ablenkungen/Unterbrechungen, etc.)",,,,,,"Estou TRANQUILO quanto a esses dados (por exemplo, a criança parecia entender a tarefa muito bem, só teve algumas distrações/interrupções, etc.)."
data-questionnaire-button-text3,general,"I feel GOOD about these data (e.g., the child clearly understood the task, had very few (if any) distractions/ interruptions, etc.)","Me siento BIEN con estos datos (p. ej., el niño entendió claramente la tarea, tuvo muy pocas (o ninguna) distracciones/interrupciones, etc.) ","Ich fühle mich GUT mit diesen Daten (z. B. das Kind verstand die Aufgabe klar, hatte sehr wenige (wenn überhaupt) Ablenkungen/Unterbrechungen, etc.)",,,,,,"Estou CONFIDENTE com relação a esses dados (por exemplo, a criança entendeu claramente a tarefa, teve muito poucas (ou nenhuma) distrações/interrupções, etc.)."
math-instructions1-heavy,math,"In this game, you will play with numbers.

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Let’s get started!","En este juego, jugarás con números.

Algunas preguntas pueden ser fáciles para ti y algunas pueden ser difíciles. ¡Está bien! Haz tu mejor esfuerzo y tómate tu tiempo. ¡Comencemos!","In diesem Spiel wirst du mit Zahlen spielen.

Einige Fragen könnten einfach für dich sein und andere schwer. Das ist in Ordnung! Bitte gib dein Bestes und nimm dir Zeit. Lass uns beginnen!",,,,,,"Neste jogo, você vai brincar com números.

Algumas perguntas podem ser fáceis para você e outras podem ser difíceis. Está tudo bem! Por favor, faça o seu melhor e leve o tempo que precisar. Vamos começar!"
math-intro1-heavy,math,It's time for the first number game! Let's practice.,¡Es hora del primer juego de números! Vamos a practicar.,Es ist Zeit für das erste Zahlenspiel! Lass uns üben.,,,,,,É hora do primeiro jogo de números! Vamos praticar.
math-intro2-heavy,math,It's time for the next number game! Let's practice.,¡Es hora del siguiente juego de números! Vamos a practicar.,Es ist Zeit für das nächste Zahlenspiel! Lass uns üben.,,,,,,É hora do próximo jogo de números! Vamos praticar.
counting-intro,math,"In this number game, you will say how many things are in the picture! The grownup helping you will press the button.","En este juego de números, dirás cuántas cosas hay en la imagen. El adulto que te está ayudando presionará el botón.","In diesem Zahlenspiel sagst du, wie viele Dinge auf dem Bild sind! Der Erwachsene, der dir hilft, wird den Knopf drücken.",,,,,,"Neste jogo de números, você dirá quantas coisas estão na imagem! O adulto que está te ajudando apertará o botão."
