identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,isHidden
ToM-scene-16-instruct3,"theory-of-mind, Stories","Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box.","Sofía no encuentra su zapato porque Jaime, por hacerle una broma, se lo escondió en la caja de juguetes hace un rato cuando nadie estaba mirando.","Sophie kann ihren Schuh nicht finden, denn früher am Tag, als niemand hinsah, hat Jakob Sophie einen Streich gespielt und ihren Schuh in der Spielzeugkiste versteckt.","Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box.","Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box.","Sophie kann ihren Schuh nicht finden, denn früher am Tag, als niemand hinsah, hat Jakob Sophie einen Streich gespielt und ihren Schuh in der Spielzeugkiste versteckt.","Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box.","Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box.",
ToM-scene-16-instruct4,"theory-of-mind, Stories","So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.","Entonces Sofía está buscando su zapato por todas partes, pero no lo encuentra. Ahora el papá se ha enfadado con Sofía porque perdió su zapato y van tarde para el colegio.","Sophie sucht also überall, aber sie kann ihren Schuh nicht finden. Papa wird wütend auf Sophie, weil sie ihren Schuh verloren hat und sie nun zu spät zur Schule kommen.","So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.","So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.","Sophie sucht also überall, aber sie kann ihren Schuh nicht finden. Papa wird wütend auf Sophie, weil sie ihren Schuh verloren hat und sie nun zu spät zur Schule kommen.","So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.","So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.",
ToM-scene-16-q3-false_belief,"theory-of-mind, Stories",Is it fair that Dad is mad at Sophie for losing her shoe?,¿Es justo que papá se enfade con Sofía por haber perdido su zapato?,"Ist es fair, dass Papa sauer auf Sophie ist, weil sie ihren Schuh verloren hat?",Is it fair that Dad is mad at Sophie for losing her shoe?,Is it fair that Dad is mad at Sophie for losing her shoe?,"Ist es fair, dass Papa sauer auf Sophie ist, weil sie ihren Schuh verloren hat?",Is it fair that Dad is mad at Sophie for losing her shoe?,Is it fair that Dad is mad at Sophie for losing her shoe?,
ToM-scene-16-q4-reference,"theory-of-mind, Stories",Is Dad mad at James?,¿Está el papá enfadado con Jaime?,Ist Papa böse auf Jakob?,Is Dad mad at James?,Is Dad mad at James?,Ist Papa böse auf Jakob?,Is Dad mad at James?,Is Dad mad at James?,
ToM-scene-16-q5-reference,"theory-of-mind, Stories",Is Sophie mad at James?,¿Está Sofía enfadada con Jaime?,Ist Sophie böse auf Jakob?,Is Sophie mad at James?,Is Sophie mad at James?,Ist Sophie böse auf Jakob?,Is Sophie mad at James?,Is Sophie mad at James?,
ToM-scene-16-instruct5,"theory-of-mind, Stories","When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.","Cuando Jaime ve que papá está enfadado con Sofía, va a la caja de juguetes, coge el zapato y se lo devuelve a Sofía.","Als Jakob sieht, dass Papa sauer auf Sophie ist, geht er zur Spielzeugkiste, holt den Schuh und gibt ihn Sophie zurück.","When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.","When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.","Als Jakob sieht, dass Papa sauer auf Sophie ist, geht er zur Spielzeugkiste, holt den Schuh und gibt ihn Sophie zurück.","When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.","When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.",
ToM-scene-16-q6-reference,"theory-of-mind, Stories",Is Dad mad at Sophie now?,¿Está el papá enfadado con Sofía ahora?,Ist Papa jetzt sauer auf Sophie?,Is Dad mad at Sophie now?,Is Dad mad at Sophie now?,Ist Papa jetzt sauer auf Sophie?,Is Dad mad at Sophie now?,Is Dad mad at Sophie now?,
ToM-scene-16-q7-reference,"theory-of-mind, Stories",Is Dad mad at James now?,¿Está el papá enfadado con Jaime ahora?,Ist Papa jetzt sauer auf Jakob?,Is Dad mad at James now?,Is Dad mad at James now?,Ist Papa jetzt sauer auf Jakob?,Is Dad mad at James now?,Is Dad mad at James now?,
ToM-scene-16-q8-reference,"theory-of-mind, Stories",Is Sophie mad at James now?,¿Está Sofía enfadada con Jaime ahora?,Ist Sophie jetzt sauer auf Jakob?,Is Sophie mad at James now?,Is Sophie mad at James now?,Ist Sophie jetzt sauer auf Jakob?,Is Sophie mad at James now?,Is Sophie mad at James now?,
ToM-scene-16-instruct6,"theory-of-mind, Stories","James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.","Jaime le pide perdón a Sofía, y Sofía y el papá perdonan a Jaime. Todos se abrazan.","Jakob sagt Sophie, dass es ihm sehr leid tut, und Sophie und Papa nehmen die Entschuldigung an. Sie umarmen sich alle.","James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.","James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.","Jakob sagt Sophie, dass es ihm sehr leid tut, und Sophie und Papa nehmen die Entschuldigung an. Sie umarmen sich alle.","James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.","James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.",
ToM-scene-17-instruct1,"theory-of-mind, Stories","This is Mika. Mika’s mom owns a bookshop, and sometimes Mika helps out. Earlier today, Mika was organizing books on tables and shelves. Mika put a very large stack of blue books on the desk, a medium-sized stack of red books on the table, and a small stack of yellow books on the shelf.","Esta es Melisa. La madre de Melisa tiene una librería y Melisa a veces la ayuda. Hace un rato, Melisa estaba organizando unos libros en las mesas y biblioteca. Melisa puso una torre muy grande de libros azules en el escritorio, una torre mediana de libros rojos en la mesa y una torre pequeña de libros amarillos en la biblioteca.","Das ist Mika. Mikas Mutter hat eine Buchhandlung, und manchmal hilft Mika dort mit. Heute hat Mika die Bücher auf Tischen und Regalen sortiert. Mika hat einen sehr großen Stapel blauer Bücher auf den Schreibtisch gelegt, einen mittelgroßen Stapel roter Bücher auf den Tisch und einen kleinen Stapel gelber Bücher ins Regal.","This is Mika. Mika’s mom owns a bookshop, and sometimes Mika helps out. Earlier today, Mika was organizing books on tables and shelves. Mika put a very large stack of blue books on the desk, a medium-sized stack of red books on the table, and a small stack of yellow books on the shelf.","This is Mika. Mika’s mom owns a bookshop, and sometimes Mika helps out. Earlier today, Mika was organizing books on tables and shelves. Mika put a very large stack of blue books on the desk, a medium-sized stack of red books on the table, and a small stack of yellow books on the shelf.","Das ist Mika. Mikas Mutter hat eine Buchhandlung, und manchmal hilft Mika dort mit. Heute hat Mika die Bücher auf Tischen und Regalen sortiert. Mika hat einen sehr großen Stapel blauer Bücher auf den Schreibtisch gelegt, einen mittelgroßen Stapel roter Bücher auf den Tisch und einen kleinen Stapel gelber Bücher ins Regal.","This is Mika. Mika’s mom owns a bookshop, and sometimes Mika helps out. Earlier today, Mika was organizing books on tables and shelves. Mika put a very large stack of blue books on the desk, a medium-sized stack of red books on the table, and a small stack of yellow books on the shelf.","This is Mika. Mika’s mom owns a bookshop, and sometimes Mika helps out. Earlier today, Mika was organizing books on tables and shelves. Mika put a very large stack of blue books on the desk, a medium-sized stack of red books on the table, and a small stack of yellow books on the shelf.",
ToM-scene-17-instruct2,"theory-of-mind, Stories","Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”","La madre de Melisa acaba de entrar. La madre le pide a Melisa uno de los libros. Melisa recuerda dónde está ese libro y le dice a su mamá: ""¡El libro está en la torre pequeña!"".","Mikas Mutter kommt gerade herein. Mama fragt Mika nach einem der Bücher. Mika erinnert sich, wo das Buch ist, und sagt zu Mama: „Das Buch ist in dem kleinen Stapel!“","Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”","Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”","Mikas Mutter kommt gerade herein. Mama fragt Mika nach einem der Bücher. Mika erinnert sich, wo das Buch ist, und sagt zu Mama: „Das Buch ist in dem kleinen Stapel!“","Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”","Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”",
ToM-scene-17-q1-reference,"theory-of-mind, Stories",Which stack of books will mom look in?,¿En cual torre de libros va a buscar la mamá?,In welchem Bücherstapel wird Mama nachsehen?,Which stack of books will mom look in?,Which stack of books will mom look in?,In welchem Bücherstapel wird Mama nachsehen?,Which stack of books will mom look in?,Which stack of books will mom look in?,
ToM-scene-17-q2-reality_check,"theory-of-mind, Stories",Which stack of books was Mika talking about?,¿A cuál torre de libros se refería Melisa?,Welchen Bücherstapel hat Mika gemeint?,Which stack of books was Mika talking about?,Which stack of books was Mika talking about?,Welchen Bücherstapel hat Mika gemeint?,Which stack of books was Mika talking about?,Which stack of books was Mika talking about?,
bluestack,"theory-of-mind, Stories",The large blue stack,La torre azul grande,Den großen blauen Stapel,The large blue stack,The large blue stack,Den großen blauen Stapel,The large blue stack,The large blue stack,
redstack,"theory-of-mind, Stories",The medium sized red stack,La torre roja mediana,Den mittelgroßen roten Stapel,The medium sized red stack,The medium sized red stack,Den mittelgroßen roten Stapel,The medium sized red stack,The medium sized red stack,
yellowstack,"theory-of-mind, Stories",The small yellow stack,La torre amarilla pequeña,Den kleinen gelben Stapel,The small yellow stack,The small yellow stack,Den kleinen gelben Stapel,The small yellow stack,The small yellow stack,
ToM-scene-17-q3-emotion_reasoning,"theory-of-mind, Stories",Mom looks in the wrong stack of books and can’t find the book that she wanted. How do you think Mom feels about not finding the book she wanted?,La mamá busca en la torre de libros equivocada y no encuentra el libro que quería. ¿Cómo crees que se siente la mamá al no encontrar el libro que quería?,"Mama schaut in den falschen Stapel und findet das Buch nicht, das sie gesucht hat. Was glaubst du, wie Mama sich fühlt, wenn sie das gewünschte Buch nicht findet?",Mom looks in the wrong stack of books and can’t find the book that she wanted. How do you think Mom feels about not finding the book she wanted?,Mom looks in the wrong stack of books and can’t find the book that she wanted. How do you think Mom feels about not finding the book she wanted?,"Mama schaut in den falschen Stapel und findet das Buch nicht, das sie gesucht hat. Was glaubst du, wie Mama sich fühlt, wenn sie das gewünschte Buch nicht findet?",Mom looks in the wrong stack of books and can’t find the book that she wanted. How do you think Mom feels about not finding the book she wanted?,Mom looks in the wrong stack of books and can’t find the book that she wanted. How do you think Mom feels about not finding the book she wanted?,
